# EM Results
# Patterns: 766213, Sites: 1296042
# iter,LL,ECDLL,improvement,rate,aitken_dist,gpu_time_ms
1,-24252025.391187,-27317704.247005,823220.452832,0.000000,0.000000,846.75
2,-24231871.857090,-26331949.521511,20153.534097,0.000000,0.000000,846.38
3,-24228370.177487,-26307634.529372,3501.679603,0.173750,736.360028,847.75
4,-24226959.488521,-26307919.118537,1410.688966,0.402861,951.722749,878.53
5,-24226296.083067,-26308621.092279,663.405454,0.470271,588.942202,884.35
6,-24225963.694009,-26308980.408030,332.389058,0.501035,333.767411,853.07
7,-24225789.904159,-26309133.507876,173.789850,0.522851,190.435453,847.63
8,-24225695.882152,-26309181.113619,94.022007,0.541010,110.823328,875.61
9,-24225643.504271,-26309178.258201,52.377881,0.557081,65.878256,858.86
10,-24225613.565666,-26309153.883777,29.938605,0.571589,39.944252,868.87
11,-24225596.060408,-26309122.631028,17.505258,0.584705,24.646145,887.39
12,-24225585.618618,-26309091.446640,10.441790,0.596494,15.435898,874.42
# Final LL: -24225585.618618
# Final ECDLL: -26309091.446640
# Total iterations: 12
# Convergence: Standard criterion
