root_vertex,root_clique_edge,upward_above_alpha,downward_above_alpha,total_above_alpha,avg_upward_rate,avg_downward_rate
h_13,h_13-h_12,56,0,56,88.23,0.47
h_12,h_12-h_13,56,0,56,88.23,0.47
h_14,h_14-h_13,56,0,56,88.17,0.54
h_2,h_2-h_12,56,0,56,88.09,0.62
h_17,h_17-h_14,56,0,56,88.03,0.68
h_18,h_18-h_17,56,0,56,87.85,0.85
h_19,h_19-h_18,56,0,56,87.64,1.07
h_3,h_3-h_2,56,0,56,87.15,1.56
h_31,h_31-h_12,56,0,56,87.12,1.59
h_29,h_29-h_13,55,1,56,86.97,1.74
h_15,h_15-h_14,55,1,56,86.91,1.80
h_1,h_1-h_2,55,1,56,86.83,1.88
h_23,h_23-h_19,56,0,56,86.57,2.14
h_20,h_20-h_19,56,0,56,86.44,2.27
h_4,h_4-h_3,56,0,56,86.16,2.55
h_32,h_32-h_31,55,1,56,85.85,2.85
h_34,h_34-h_31,55,1,56,85.85,2.85
h_30,h_30-h_29,54,2,56,85.67,3.03
h_16,h_16-h_15,54,2,56,85.61,3.10
h_0,h_0-h_1,54,2,56,85.53,3.18
h_24,h_24-h_23,56,0,56,85.45,3.26
h_22,h_22-h_20,55,1,56,85.14,3.56
h_21,h_21-h_20,55,1,56,85.14,3.56
h_5,h_5-h_4,56,0,56,85.00,3.71
h_9,h_9-h_4,56,0,56,84.96,3.75
h_35,h_35-h_34,54,2,56,84.56,4.15
h_33,h_33-h_32,54,2,56,84.56,4.15
h_25,h_25-h_24,56,0,56,84.29,4.41
h_6,h_6-h_5,56,0,56,83.80,4.91
h_10,h_10-h_9,55,1,56,83.70,5.01
h_26,h_26-h_25,56,0,56,83.09,5.61
h_7,h_7-h_6,55,1,56,82.50,6.20
h_8,h_8-h_6,55,1,56,82.50,6.20
h_11,h_11-h_10,54,2,56,82.40,6.31
h_27,h_27-h_26,55,1,56,81.83,6.88
h_28,h_28-h_27,54,2,56,80.53,8.17
