# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21947.95
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1322.9720
2	-24931755.5606291555	-24931755.5606291555	1296.0731
3	-24924706.7941584289	-24924342.6446687356	1291.1711
4	-24922220.8886338919	-24920866.5352249667	1291.1366
5	-24922069.3907122612	-24922059.5588301904	1290.8787
6	-24922022.7391851321	-24922001.9815330096	1287.5826
7	-24921985.5832203291	-24921840.1925975308	1291.2877
8	-24921984.8823108189	-24921984.8688346595	1289.4429
9	-24921984.6839971356	-24921984.6057467498	1289.7517
10	-24921984.5412560925	-24921984.1746187434	1287.1462
11	-24921984.5396276563	-24921984.5396088660	1283.0195
12	-24921984.5374782272	-24921984.5463459976	1286.1547
13	-24921984.5334980302	-24921984.5421512127	1282.7945
14	-24921984.5330744013	-24921984.5330239423	1287.9618
15	-24921984.5329458937	-24921984.5328899361	1293.2916
16	-24921984.5328060538	-24921984.5345316641	1288.2274
17	-24921984.5328086764	-24921984.5328086279	1288.4884

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
