# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: no
# Total iterations: 100
# Total time (ms): 141213.00
# Final LL: -1758068.6998854543

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-1762178.6508657094	-1762178.6508657094	1425.1546
2	-1762144.9098531788	-1762144.9098531788	1389.8555
3	-1762110.9949713664	-1768726.4200574502	1385.5732
4	-1762076.9058041482	-1768744.5399438024	1390.6463
5	-1762042.6424390248	-1768781.9782997074	1390.5863
6	-1762008.2048354528	-1768814.6734995584	1390.2269
7	-1761973.5928846917	-1768844.8658923756	1394.4826
8	-1761938.8068360563	-1768889.3177783082	1397.6798
9	-1761903.8465454602	-1768918.3562153713	1395.8393
10	-1761868.7121712239	-1768959.6958630788	1399.5748
11	-1761833.4038935457	-1769002.1778887615	1395.5641
12	-1761797.9218180329	-1769041.8422335610	1394.7045
13	-1761762.2661187365	-1769084.5860600751	1398.7165
14	-1761726.4370563652	-1769131.2532849454	1399.3173
15	-1761690.4348719951	-1769177.3937132312	1399.6275
16	-1761654.2598300343	-1769224.8481705717	1403.0393
17	-1761617.9122091916	-1769273.2494435087	1398.1444
18	-1761581.3924215201	-1769327.9188641701	1399.3487
19	-1761544.7008396641	-1769381.2418910505	1401.3803
20	-1761507.8378728575	-1769436.6456051522	1399.4282
21	-1761470.8039487950	-1769493.3445800305	1389.7184
22	-1761433.5995773401	-1769554.3765276452	1394.6059
23	-1761396.2252749563	-1769616.2620163832	1397.1521
24	-1761358.6816265858	-1769682.0293458577	1393.4877
25	-1761320.9692462287	-1769749.8608945711	1391.6578
26	-1761283.0886551784	-1769813.6948329424	1397.7108
27	-1761245.0407259101	-1769896.0526601064	1397.6930
28	-1761206.8259825567	-1769961.2822308212	1397.2781
29	-1761168.4452139332	-1770041.0909264938	1396.7225
30	-1761129.8993591915	-1770129.9469302697	1397.9706
31	-1761091.1891181245	-1770206.8060095236	1393.5155
32	-1761052.3154093574	-1770296.7424865838	1397.0703
33	-1761013.2790732558	-1770383.3861414699	1396.1765
34	-1760974.0811670469	-1770483.7353756134	1391.2059
35	-1760934.7226517887	-1770579.8374849551	1392.7936
36	-1760895.2045701009	-1770682.2179378520	1393.1988
37	-1760855.5279572266	-1770785.6473544603	1393.8048
38	-1760815.6939620506	-1770897.8134507404	1395.2061
39	-1760775.7037786872	-1771014.7288409218	1396.9958
40	-1760735.5585683354	-1771131.4124209303	1395.6388
41	-1760695.2596110015	-1771258.1073493042	1398.5325
42	-1760654.8081997293	-1771387.9954989126	1402.0073
43	-1760614.2056884544	-1771524.6219189179	1401.2666
44	-1760573.4533836776	-1771660.3852136687	1402.8819
45	-1760532.5528085476	-1771815.0311311379	1410.8750
46	-1760491.5054292043	-1771968.6102968482	1407.0501
47	-1760450.3126275120	-1772118.7179524056	1410.0858
48	-1760408.9760756902	-1772295.6472213380	1413.3364
49	-1760367.4974160856	-1772474.3586144454	1413.0677
50	-1760325.8781822484	-1772647.9132742747	1414.3910
51	-1760284.1200928451	-1772842.0468469129	1413.0247
52	-1760242.2248906123	-1773043.4191931938	1421.4140
53	-1760200.1944346908	-1773261.2742531167	1422.5368
54	-1760158.0304181124	-1773468.8686288358	1417.7944
55	-1760115.7348065265	-1773709.8581089661	1422.1367
56	-1760073.3095174087	-1773953.1631210756	1422.7949
57	-1760030.7563702341	-1774193.1046656212	1426.1711
58	-1759988.0775174825	-1774478.1623342126	1425.7169
59	-1759945.2748098359	-1774737.3569758793	1426.6674
60	-1759902.3506219692	-1775069.3127868890	1427.9891
61	-1759859.3068505675	-1775352.7964547991	1433.5068
62	-1759816.1456639706	-1775681.9629194837	1430.8577
63	-1759772.8694066599	-1776048.3784660844	1434.6654
64	-1759729.4802079438	-1776398.5004022161	1433.5977
65	-1759685.9804147233	-1776795.6190768352	1430.5104
66	-1759642.3724317115	-1777219.4114583875	1430.7973
67	-1759598.6584772384	-1777630.9644446082	1437.5627
68	-1759554.8411119049	-1778121.1841378289	1432.9373
69	-1759510.9227028126	-1778599.9458937177	1431.0037
70	-1759466.9057911434	-1779136.3253688088	1431.1865
71	-1759422.7928683283	-1779690.7517558078	1431.0021
72	-1759378.5865399581	-1780300.2487250268	1432.9434
73	-1759334.2893947831	-1780940.8309669376	1431.7020
74	-1759289.9041164345	-1781643.0414788513	1431.6229
75	-1759245.4332958451	-1782364.4662272721	1430.8277
76	-1759200.8797262472	-1783189.3310863608	1434.1265
77	-1759156.2461361003	-1784051.8185119748	1430.6835
78	-1759111.5352650951	-1784979.0272941715	1430.9729
79	-1759066.7500440278	-1786043.4057520626	1435.1816
80	-1759021.8931781838	-1787106.8214183517	1436.0430
81	-1758976.9676041871	-1788352.0434628518	1435.5391
82	-1758931.9763044824	-1789729.9260464797	1433.9494
83	-1758886.9221292974	-1791171.0285723561	1429.9296
84	-1758841.8080088941	-1792794.2051920115	1420.5944
85	-1758796.6370803870	-1794714.2728655385	1412.7948
86	-1758751.4122783863	-1796715.9581154280	1412.1424
87	-1758706.1366016436	-1798998.9582395279	1412.3183
88	-1758660.8132311872	-1801731.6447060781	1412.6051
89	-1758615.4451537409	-1804654.3858513653	1410.8223
90	-1758570.0355935425	-1808278.1202456411	1413.3967
91	-1758524.5875876348	-1812250.2511280768	1416.5565
