# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21011.95
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1220.1446
2	-24931755.5606291592	-24931755.5606291592	1219.2200
3	-24924706.7941584289	-24924342.6446687356	1218.6682
4	-24922220.8886338770	-24920866.5352249332	1244.3114
5	-24922069.3907122612	-24922059.5588301904	1230.1698
6	-24922022.7391851284	-24922001.9815329984	1220.1920
7	-24921985.5832203366	-24921840.1925978512	1219.5680
8	-24921984.8823108226	-24921984.8688346632	1204.1836
9	-24921984.6839971319	-24921984.6057467386	1227.6390
10	-24921984.5412560888	-24921984.1746187918	1224.8354
11	-24921984.5396276563	-24921984.5396088660	1219.6936
12	-24921984.5374782346	-24921984.5463460051	1255.5061
13	-24921984.5334980413	-24921984.5421511903	1250.4565
14	-24921984.5330743901	-24921984.5330239236	1220.6726
15	-24921984.5329458900	-24921984.5328899436	1232.7157
16	-24921984.5328060538	-24921984.5345310085	1269.4084
17	-24921984.5328086764	-24921984.5328086279	1333.9634

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
