Trial	Iterations	Final_LL	Time_ms
1	20	-24921984.6973858215	24634.72
2	20	-24921984.6973858215	25401.36
3	20	-24921984.6973858215	24784.65
4	20	-24921984.6973858215	24983.94
5	20	-24921984.6973858215	24830.16
6	20	-24921984.6973858252	24600.80
7	20	-24921984.6973858215	24634.84
8	20	-24921984.6973858215	24856.10
9	20	-24921984.6973858215	24692.74
10	20	-24921984.6973858215	24686.06
11	20	-24921984.6973858215	24679.60
12	20	-24921984.6973858215	24469.40
13	20	-24921984.6973858252	24584.93
14	20	-24921984.6973858252	25594.25
15	20	-24921984.6973858215	26059.59
16	20	-24921984.6973858215	25939.68
17	20	-24921984.6973858252	25727.61
18	20	-24921984.6973858252	25766.55
19	20	-24921984.6973858252	25679.82
20	20	-24921984.6973858178	25515.99
