# EM Results
# Patterns: 766213, Sites: 1296042
# iter,LL,ECDLL,improvement,rate,aitken_dist,gpu_time_ms
1,-24252025.391187,-27317704.247005,823220.452832,0.000000,0.000000,848.26
2,-24231871.857090,-26331949.521511,20153.534097,0.000000,0.000000,847.81
3,-24228370.177487,-26307634.529372,3501.679603,0.173750,736.360028,848.81
4,-24226959.488521,-26307919.118537,1410.688966,0.402861,951.722749,849.19
5,-24226296.083067,-26308621.092279,663.405454,0.470271,588.942202,848.48
6,-24225963.694009,-26308980.408030,332.389058,0.501035,333.767411,848.86
7,-24225789.904159,-26309133.507876,173.789850,0.522851,190.435453,848.82
8,-24225695.882152,-26309181.113619,94.022007,0.541010,110.823328,849.23
9,-24225643.504271,-26309178.258201,52.377881,0.557081,65.878256,848.91
10,-24225613.565666,-26309153.883777,29.938605,0.571589,39.944252,849.22
11,-24225596.060408,-26309122.631028,17.505258,0.584705,24.646145,848.63
12,-24225585.618618,-26309091.446640,10.441790,0.596494,15.435898,848.30
13,-24225579.280390,-26309063.260270,6.338228,0.607006,9.789819,848.66
14,-24225575.374120,-26309038.992758,3.906270,0.616303,6.274345,849.17
15,-24225572.934759,-26309018.625283,2.439361,0.624473,4.056476,849.14
16,-24225571.394022,-26309001.750845,1.540738,0.631615,2.641677,848.46
17,-24225570.411277,-26308987.846614,0.982745,0.637841,1.730826,865.37
18,-24225569.779114,-26308976.399358,0.632163,0.643262,1.139902,848.72
19,-24225569.369483,-26308966.955814,0.409631,0.647984,0.754040,849.07
20,-24225569.102362,-26308959.136413,0.267121,0.652102,0.500694,846.61
21,-24225568.927204,-26308952.632381,0.175157,0.655722,0.333611,847.09
22,-24225568.811795,-26308947.196435,0.115409,0.658889,0.222925,846.87
23,-24225568.735426,-26308942.631954,0.076369,0.661719,0.149386,847.51
24,-24225568.684700,-26308938.782816,0.050726,0.664226,0.100346,846.96
25,-24225568.650894,-26308935.524745,0.033806,0.666441,0.067543,846.84
26,-24225568.628293,-26308932.758270,0.022601,0.668564,0.045591,846.69
27,-24225568.613143,-26308930.403196,0.015150,0.670299,0.030800,847.06
28,-24225568.602962,-26308928.394331,0.010182,0.672077,0.020868,847.46
29,-24225568.596101,-26308926.678216,0.006860,0.673776,0.014169,846.60
30,-24225568.591470,-26308925.210636,0.004631,0.675111,0.009624,847.18
31,-24225568.588339,-26308923.954737,0.003131,0.675972,0.006531,847.20
32,-24225568.586216,-26308922.879576,0.002123,0.678210,0.004475,846.75
33,-24225568.584773,-26308921.959023,0.001443,0.679748,0.003063,847.18
34,-24225568.583793,-26308921.170895,0.000980,0.678979,0.002073,847.41
35,-24225568.583124,-26308920.496288,0.000669,0.682237,0.001435,848.46
36,-24225568.582668,-26308919.919040,0.000456,0.682629,0.000982,846.84
37,-24225568.582356,-26308919.425306,0.000311,0.682140,0.000668,847.68
38,-24225568.582143,-26308919.003202,0.000214,0.686798,0.000469,847.43
39,-24225568.581997,-26308918.642521,0.000145,0.679711,0.000308,847.10
40,-24225568.581896,-26308918.334488,0.000101,0.696914,0.000233,846.90
41,-24225568.581828,-26308918.071560,0.000068,0.670884,0.000139,847.51
42,-24225568.581780,-26308917.847254,0.000048,0.710910,0.000119,847.21
43,-24225568.581745,-26308917.655998,0.000034,0.711344,0.000085,846.55
44,-24225568.581724,-26308917.493008,0.000021,0.606245,0.000032,848.12
45,-24225568.581708,-26308917.354176,0.000016,0.785229,0.000060,846.94
46,-24225568.581698,-26308917.235978,0.000010,0.601230,0.000015,846.52
47,-24225568.581690,-26308917.135392,0.000008,0.825000,0.000038,847.18
48,-24225568.581686,-26308917.049833,0.000004,0.545455,0.000005,847.13
49,-24225568.581681,-26308916.977085,0.000005,1.117003,0.000000,847.51
# Final LL: -24225568.581681
# Final ECDLL: -26308916.977085
# Total iterations: 49
# Convergence: Aitken rate > 0.95
