# EM Results with Aitken Parameter Acceleration
# Patterns: 766213, Sites: 1296042
# iter,LL,ECDLL,improvement,rate,aitken_dist,gpu_time_ms,accelerated
1,-24252025.391187,-27317704.247005,823220.452832,0.000000,0.000000,889.90,0
2,-24239278.318431,-52912321.072506,12747.072756,0.000000,0.000000,846.45,0
3,-24235229.560072,-79221981.617502,4048.758358,0.317623,1884.554121,847.06,0
4,-24233217.118255,-105533064.358375,2012.441818,0.497052,1988.847014,862.30,0
5,-24231998.772033,-131843547.181132,1218.346221,0.605407,1869.255442,881.38,0
6,-24231174.183631,-158153513.685865,824.588402,0.676810,1726.812776,847.11,0
7,-24230574.665493,-184463113.008102,599.518138,0.727051,1596.932403,846.80,0
8,-24230116.529616,-210772451.916385,458.135877,0.764174,1484.546086,847.97,0
9,-24229753.389673,-237081602.210373,363.139943,0.792647,1388.171190,880.71,0
10,-24229457.380463,-263390612.755979,296.009210,0.815138,1305.236027,849.39,0
11,-24229210.707138,-289699517.651565,246.673325,0.833330,1233.336143,848.56,0
12,-24229001.445992,-316008341.309801,209.261146,0.848333,1170.480522,848.80,0
13,-24228821.291143,-342317101.624094,180.154849,0.860909,1115.077276,876.36,0
14,-24228664.268704,-368625811.983941,157.022438,0.871597,1065.865803,848.99,0
15,-24228525.965239,-394934482.591751,138.303466,0.880788,1021.842860,848.31,0
16,-24228403.044880,-421243121.345450,122.920358,0.888773,982.208234,848.69,0
17,-24228292.936230,-447551734.443624,110.108651,0.895772,946.315309,884.36,0
18,-24228193.623004,-473860326.811149,99.313225,0.901957,913.638522,849.06,0
19,-24228103.500306,-500168902.402567,90.122698,0.907459,883.746991,848.59,0
20,-24228021.273632,-526477464.423047,82.226675,0.912386,856.282402,848.82,0
21,-24227945.886409,-552786015.492599,75.387223,0.916822,830.948727,884.21,0
22,-24227876.467090,-579094557.768704,69.419318,0.920837,807.493055,847.91,0
23,-24227812.289841,-605403093.039572,64.177249,0.924487,785.704861,849.55,0
24,-24227752.744918,-631711622.796007,59.544924,0.927820,765.403486,848.82,0
25,-24227697.316057,-658020148.287096,55.428861,0.930875,746.431447,878.89,0
26,-24227645.562974,-684328670.564874,51.753082,0.933685,728.656922,848.36,0
27,-24227597.107695,-710637190.518184,48.455280,0.936278,711.963157,848.96,0
28,-24227551.623753,-736945708.901325,45.483942,0.938679,696.248322,848.78,0
29,-24227508.827581,-763254226.355846,42.796172,0.940907,681.424607,871.16,0
30,-24227468.471588,-789562743.429018,40.355993,0.942981,667.412404,848.41,0
31,-24227430.338546,-815871260.588952,38.133043,0.944916,654.143775,849.03,0
32,-24227394.236997,-842179778.236156,36.101548,0.946726,641.558249,848.46,0
33,-24227359.997497,-868488296.714010,34.239500,0.948422,629.598910,873.01,0
34,-24227327.469482,-894796816.317296,32.528015,0.950014,0.000000,848.75,0
# Final LL: -24227327.469482
# Final ECDLL: -894796816.317296
# Total iterations: 34
# Accelerated steps: 0
# Convergence: Aitken rate > 0.95
