# EM Results with Aitken Parameter Acceleration
# Patterns: 648, Sites: 1000
# iter,LL,ECDLL,improvement,rate,aitken_dist,gpu_time_ms,accelerated
1,-18197.284437,-20629.122989,1112.778877,0.000000,0.000000,3.45,0
2,-18121.556258,-19302.091450,75.728179,0.000000,0.000000,3.42,0
3,-18096.801159,-19157.640741,24.755099,0.326894,12.022325,4.23,0
4,-18084.750011,-19093.847500,12.051148,0.486815,11.431890,3.42,0
5,-18077.939957,-19054.999982,6.810055,0.565096,8.848697,3.70,0
6,-18073.839763,-19028.894433,4.100193,0.602079,6.203854,3.86,0
7,-18071.237494,-19010.796784,2.602270,0.634670,4.520796,3.82,0
8,-18069.500293,-18997.964045,1.737201,0.667571,3.488583,3.43,0
9,-18068.291648,-18988.640745,1.208645,0.695743,2.763799,3.66,0
10,-18067.427323,-18981.696724,0.864325,0.715120,2.169668,3.85,0
11,-18066.801674,-18976.410507,0.625649,0.723858,1.640025,3.43,0
12,-18066.345290,-18972.324286,0.456385,0.729458,1.230544,3.69,0
13,-18066.005756,-18969.125702,0.339534,0.743965,0.986587,3.42,0
14,-18065.744158,-18966.576570,0.261598,0.770462,0.878072,3.86,0
15,-18065.533964,-18964.492474,0.210194,0.803500,0.859493,3.43,0
16,-18065.357964,-18962.737125,0.176000,0.837323,0.905897,3.69,0
17,-18065.205015,-18961.213093,0.152949,0.869027,1.014840,3.43,0
18,-18065.067722,-18959.851072,0.137293,0.897642,1.204011,4.36,0
19,-18064.941011,-18958.601160,0.126711,0.922921,1.517204,3.43,0
20,-18064.821303,-18957.426819,0.119709,0.944739,2.046533,3.67,0
21,-18064.706044,-18956.301032,0.115259,0.962828,0.000000,3.85,0
# Final LL: -18064.706044
# Final ECDLL: -18956.301032
# Total iterations: 21
# Accelerated steps: 0
# Convergence: Aitken rate > 0.95
