# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 14
# Total time (ms): 72.94
# Final LL: -19112.7925476435

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-19310.0633144482	-19310.0633144482	6.1665
2	-19126.2208966177	-19126.2208966177	5.0722
3	-19116.9480893894	-19116.4555354243	5.1574
4	-19113.0934429850	-19110.3511288704	5.4537
5	-19112.9061008295	-19112.8965305618	5.0712
6	-19112.8513030987	-19112.8286481188	4.8035
7	-19112.8020080452	-19112.3604044012	5.1942
8	-19112.7990091428	-19112.7988148844	4.9986
9	-19112.7971641192	-19112.7942139725	4.9991
10	-19112.7937284923	-19112.8011492816	5.2978
11	-19112.7933874567	-19112.7933498733	4.9129
12	-19112.7931487226	-19112.7925916055	5.0933
13	-19112.7925572962	-19112.7935490535	4.8220
14	-19112.7925476435	-19112.7925474833	5.4363

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.38307991	1.29676438	yes
6	0.56049145	1.82021488	yes
9	0.65933807	2.34836927	yes
12	0.79934175	3.98687818	yes
