# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21921.29
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1298.6794
2	-24931755.5606291592	-24931755.5606291592	1291.4408
3	-24924706.7941584215	-24924342.6446687281	1297.0201
4	-24922220.8886338733	-24920866.5352249369	1294.2861
5	-24922069.3907122612	-24922059.5588301904	1295.1199
6	-24922022.7391851284	-24922001.9815329984	1294.2942
7	-24921985.5832203291	-24921840.1925976723	1284.5078
8	-24921984.8823108189	-24921984.8688346595	1289.9027
9	-24921984.6839971319	-24921984.6057467423	1288.1774
10	-24921984.5412560999	-24921984.1746189073	1287.7500
11	-24921984.5396276563	-24921984.5396088623	1287.0769
12	-24921984.5374782346	-24921984.5463461950	1285.3865
13	-24921984.5334980376	-24921984.5421511866	1285.3079
14	-24921984.5330743939	-24921984.5330239311	1288.5261
15	-24921984.5329458974	-24921984.5328899547	1288.4905
16	-24921984.5328060575	-24921984.5345299691	1282.4955
17	-24921984.5328086764	-24921984.5328086279	1282.0970

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835003	yes
