# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 20628.98
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1236.3398
2	-24931755.5606291592	-24931755.5606291592	1205.0835
3	-24924706.7941584215	-24924342.6446687281	1208.5281
4	-24922220.8886338696	-24920866.5352249257	1207.9811
5	-24922069.3907122575	-24922059.5588301904	1209.1822
6	-24922022.7391851284	-24922001.9815330021	1211.6871
7	-24921985.5832203291	-24921840.1925976165	1215.4331
8	-24921984.8823108226	-24921984.8688346632	1209.5660
9	-24921984.6839971319	-24921984.6057467386	1212.1066
10	-24921984.5412560925	-24921984.1746188365	1214.6928
11	-24921984.5396276601	-24921984.5396088697	1211.9974
12	-24921984.5374782421	-24921984.5463460460	1211.8569
13	-24921984.5334980376	-24921984.5421511643	1212.5450
14	-24921984.5330743939	-24921984.5330239311	1215.5311
15	-24921984.5329458937	-24921984.5328899473	1217.0548
16	-24921984.5328060575	-24921984.5345310122	1213.6077
17	-24921984.5328086764	-24921984.5328086279	1215.0715

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
