# EM Convergence Results
# Aitken acceleration: disabled
# Converged: yes
# Total iterations: 37
# Total time (ms): 180.66
# Final LL: -19112.7925210612

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-19310.0633144482	-19310.0633144482	6.5123
2	-19126.2208966177	-19126.2208966177	4.7971
3	-19116.9480893894	-19116.4555354243	4.9788
4	-19114.3961053407	-19113.4270837774	5.4501
5	-19113.4696369344	-19112.9415929800	4.8115
6	-19113.0995746459	-19112.8534484926	4.8047
7	-19112.9413673146	-19112.8232225236	5.2992
8	-19112.8695920163	-19112.8099880328	5.1742
9	-19112.8351143258	-19112.8032433505	4.8322
10	-19112.8175603778	-19112.7993527566	5.4045
11	-19112.8080713083	-19112.7969065477	5.0937
12	-19112.8026268024	-19112.7952977926	4.8172
13	-19112.7993238357	-19112.7942295614	5.0114
14	-19112.7972205051	-19112.7935327205	5.5774
15	-19112.7958273596	-19112.7930944741	4.8184
16	-19112.7948764010	-19112.7928312874	4.9812
17	-19112.7942128166	-19112.7926805142	5.4753
18	-19112.7937424800	-19112.7925977505	4.8109
19	-19112.7934054991	-19112.7925539710	4.8164
20	-19112.7931622985	-19112.7925316051	4.9314
21	-19112.7929859413	-19112.7925206482	4.6002
22	-19112.7928576804	-19112.7925156388	4.3440
23	-19112.7927642535	-19112.7925136776	4.3552
24	-19112.7926961681	-19112.7925132428	5.0316
25	-19112.7926465733	-19112.7925135508	4.3525
26	-19112.7926104946	-19112.7925141902	4.3410
27	-19112.7925843055	-19112.7925149524	4.7493
28	-19112.7925653540	-19112.7925157296	4.8569
29	-19112.7925516971	-19112.7925164705	4.3479
30	-19112.7925419093	-19112.7925171492	4.4958
31	-19112.7925349442	-19112.7925177579	4.8508
32	-19112.7925300337	-19112.7925182975	4.5761
33	-19112.7925266138	-19112.7925187673	4.3238
34	-19112.7925242710	-19112.7925191749	4.4916
35	-19112.7925227023	-19112.7925195235	4.9664
36	-19112.7925216862	-19112.7925198179	4.3271
37	-19112.7925210612	-19112.7925200626	4.3169
