# EM Convergence Results
# Aitken acceleration: disabled
# Converged: yes
# Total iterations: 41
# Total time (ms): 53165.52
# Final LL: -24921984.5327767693

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1297.4285
2	-24931755.5606291555	-24931755.5606291555	1272.8302
3	-24924706.7941584252	-24924342.6446687318	1273.3217
4	-24923027.7043213360	-24922502.6554453298	1270.9518
5	-24922414.7060472965	-24922062.2345551662	1272.7442
6	-24922168.5552024767	-24922003.3905220702	1272.4909
7	-24922065.3211680129	-24921990.7514526285	1269.2930
8	-24922020.7361974716	-24921986.8427392431	1272.1121
9	-24922001.0425590724	-24921985.4612558633	1268.4636
10	-24921992.1828051247	-24921984.9374592490	1278.3228
11	-24921988.1336050741	-24921984.7252613790	1271.0657
12	-24921986.2559769936	-24921984.6325045712	1293.3607
13	-24921985.3727808632	-24921984.5883778632	1309.1401
14	-24921984.9510279186	-24921984.5655513257	1290.2718
15	-24921984.7462061159	-24921984.5528176948	1277.7124
16	-24921984.6447822340	-24921984.5452947021	1298.3018
17	-24921984.5934048221	-24921984.5406610742	1301.6950
18	-24921984.5666869357	-24921984.5377388746	1306.5804
19	-24921984.5523772091	-24921984.5358744971	1301.2078
20	-24921984.5444649905	-24921984.5346794315	1298.1741
21	-24921984.5399455428	-24921984.5339252688	1299.2356
22	-24921984.5372797213	-24921984.5334458277	1286.5651
23	-24921984.5356634222	-24921984.5331742689	1269.2203
24	-24921984.5346538275	-24921984.5329737999	1306.5178
25	-24921984.5340132788	-24921984.5329014845	1310.8683
26	-24921984.5336003900	-24921984.5328515656	1311.3223
27	-24921984.5333267152	-24921984.5327887088	1318.1049
28	-24921984.5331461802	-24921984.5327962451	1314.8870
29	-24921984.5330252759	-24921984.5327801369	1304.9422
30	-24921984.5329452716	-24921984.5327887759	1276.0764
31	-24921984.5328898840	-24921984.5327652618	1311.3547
32	-24921984.5328529552	-24921984.5327790752	1317.8090
33	-24921984.5328279585	-24921984.5327755921	1313.7031
34	-24921984.5328112319	-24921984.5327774025	1315.6352
35	-24921984.5328001305	-24921984.5327782221	1318.9056
36	-24921984.5327920392	-24921984.5327702872	1319.0834
37	-24921984.5327854045	-24921984.5327551849	1309.2635
38	-24921984.5327822827	-24921984.5327795073	1320.0355
39	-24921984.5327807441	-24921984.5327792503	1319.2659
40	-24921984.5327771567	-24921984.5327834375	1317.5477
41	-24921984.5327767693	-24921984.5327767208	1308.0585
