# EM Convergence Results
# Aitken acceleration: disabled
# Converged: yes
# Total iterations: 41
# Total time (ms): 49894.77
# Final LL: -24921984.5327767693

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1258.6537
2	-24931755.5606291592	-24931755.5606291592	1207.4060
3	-24924706.7941584252	-24924342.6446687318	1210.2535
4	-24923027.7043213323	-24922502.6554453224	1211.8719
5	-24922414.7060473002	-24922062.2345551811	1211.9229
6	-24922168.5552024730	-24922003.3905220479	1214.7191
7	-24922065.3211680092	-24921990.7514526285	1211.4836
8	-24922020.7361974791	-24921986.8427392729	1209.9057
9	-24922001.0425590724	-24921985.4612558410	1209.5012
10	-24921992.1828051284	-24921984.9374592677	1216.5565
11	-24921988.1336050741	-24921984.7252613679	1211.7020
12	-24921986.2559769973	-24921984.6325045861	1216.8911
13	-24921985.3727808595	-24921984.5883778371	1216.4942
14	-24921984.9510279186	-24921984.5655513443	1218.9463
15	-24921984.7462061197	-24921984.5528177060	1216.2711
16	-24921984.6447822303	-24921984.5452946723	1218.9903
17	-24921984.5934048221	-24921984.5406610928	1221.0330
18	-24921984.5666869357	-24921984.5377388708	1217.4866
19	-24921984.5523772016	-24921984.5358744636	1216.1447
20	-24921984.5444649905	-24921984.5346794724	1223.8071
21	-24921984.5399455465	-24921984.5339252762	1216.0077
22	-24921984.5372797251	-24921984.5334458239	1215.3027
23	-24921984.5356634259	-24921984.5331742726	1220.1842
24	-24921984.5346538238	-24921984.5329737477	1220.3152
25	-24921984.5340132788	-24921984.5329015329	1219.1601
26	-24921984.5336003900	-24921984.5328515545	1221.8256
27	-24921984.5333267152	-24921984.5327887088	1216.2346
28	-24921984.5331461802	-24921984.5327962451	1217.0452
29	-24921984.5330252722	-24921984.5327801034	1214.6056
30	-24921984.5329452716	-24921984.5327888168	1213.6084
31	-24921984.5328898877	-24921984.5327652805	1212.1763
32	-24921984.5328529552	-24921984.5327790305	1211.6013
33	-24921984.5328279622	-24921984.5327756442	1211.6067
34	-24921984.5328112282	-24921984.5327773206	1214.2190
35	-24921984.5328001268	-24921984.5327782482	1216.2300
36	-24921984.5327920467	-24921984.5327704363	1216.8599
37	-24921984.5327854045	-24921984.5327547230	1225.2099
38	-24921984.5327822864	-24921984.5327795260	1219.9734
39	-24921984.5327807404	-24921984.5327792205	1213.0844
40	-24921984.5327771567	-24921984.5327834599	1219.9546
41	-24921984.5327767693	-24921984.5327767208	1218.1621
