=== Log-Likelihood Precision Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.
Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.170 ms
  Std Dev: 6.6193e-02 ms
  Range:   1.140 to 2.914 ms

Backward pass:
  Average: 1.578 ms
  Std Dev: 4.3950e-02 ms
  Range:   1.507 to 1.782 ms

Propagation / Pruning time ratio:
  Average: 2.349321
  Std Dev: 3.0560e-02
  Range:   1.609620 to 2.418979

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
    1      2.913920      1.776384      1.609620
    2      1.306624      1.718272      2.315047
    3      1.304768      1.747648      2.339432
    4      1.300480      1.712864      2.317101
    5      1.317888      1.722368      2.306915
    6      1.306624      1.704960      2.304859
    7      1.296384      1.739776      2.342022
    8      1.299456      1.715200      2.319937
    9      1.320960      1.724416      2.305426
   10      1.290240      1.722368      2.334921
   11      1.300480      1.717248      2.320472
   12      1.307616      1.720224      2.315542
   13      1.328128      1.721344      2.296068
   14      1.286144      1.712128      2.331210
   15      1.293312      1.715040      2.326084
   16      1.295360      1.729312      2.335005
   17      1.311744      1.732608      2.320843
   18      1.301248      1.717248      2.319693
   19      1.304576      1.735680      2.330455
   20      1.318912      1.725376      2.308181
   21      1.316864      1.718272      2.304821
   22      1.307648      1.724416      2.318716
   23      1.304544      1.717248      2.316359
   24      1.304576      1.769472      2.356358
   25      1.304160      1.711104      2.312035
   26      1.300288      1.717248      2.320668
   27      1.294336      1.726272      2.333712
   28      1.295264      1.718464      2.326729
   29      1.294336      1.715200      2.325158
   30      1.294336      1.712128      2.322785
   31      1.295360      1.722368      2.329644
   32      1.294336      1.713952      2.324194
   33      1.295040      1.731200      2.336792
   34      1.288576      1.727104      2.340320
   35      1.326080      1.768448      2.333591
   36      1.286144      1.717248      2.335191
   37      1.295008      1.720320      2.328424
   38      1.303552      1.698656      2.303098
   39      1.298432      1.716096      2.321668
   40      1.285120      1.781760      2.386454
   41      1.301504      1.715200      2.317860
   42      1.290240      1.732608      2.342857
   43      1.298432      1.713696      2.319819
   44      1.296256      1.722368      2.328725
   45      1.296384      1.723392      2.329384
   46      1.295360      1.736704      2.340712
   47      1.301504      1.729536      2.328875
   48      1.319744      1.714976      2.299476
   49      1.296320      1.723392      2.329450
   50      1.293312      1.719200      2.329300
