=== Precision, Memory, and Timing Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.

=== Memory Requirements ===
Shared (tree structure, patterns):  0.000402 GB
Pruning algorithm total:            0.020071 GB
Propagation algorithm total:        0.039740 GB
Additional memory for propagation:  0.019669 GB
Propagation / Pruning memory ratio: 1.9800

Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.163 ms
  Std Dev: 4.7816e-02 ms
  Range:   1.139 to 2.349 ms

Backward pass:
  Average: 1.566 ms
  Std Dev: 3.7199e-02 ms
  Range:   1.488 to 1.763 ms

Propagation / Pruning time ratio:
  Average: 2.347797
  Std Dev: 2.7477e-02
  Range:   1.750572 to 2.406526

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
    1      2.349056      1.763136      1.750572
    2      1.299264      1.718400      2.322595
    3      1.295360      1.717248      2.325692
    4      1.287168      1.719296      2.335720
    5      1.292288      1.718272      2.329636
    6      1.290240      1.717152      2.330878
    7      1.294336      1.719296      2.328323
    8      1.309696      1.723392      2.315872
    9      1.294240      1.722336      2.330770
   10      1.303552      1.715200      2.315789
   11      1.296832      1.710080      2.318660
   12      1.303552      1.722368      2.321288
   13      1.303200      1.720320      2.320074
   14      1.306208      1.715200      2.313114
   15      1.300480      1.707008      2.312598
   16      1.299456      1.733344      2.333900
   17      1.298112      1.705856      2.314105
   18      1.310720      1.717248      2.310156
   19      1.294336      1.708736      2.320164
   20      1.289760      1.714080      2.328991
   21      1.296000      1.704960      2.315555
   22      1.287168      1.719104      2.335571
   23      1.312768      1.708032      2.301092
   24      1.291264      1.691136      2.309675
   25      1.289216      1.715200      2.330421
   26      1.303552      1.723392      2.322074
   27      1.293312      1.714176      2.325416
   28      1.309696      1.721984      2.314797
   29      1.282752      1.705984      2.329941
   30      1.311744      1.732640      2.320868
   31      1.298432      1.721344      2.325710
   32      1.293216      1.728160      2.336328
   33      1.297248      1.708032      2.316658
   34      1.304416      1.725248      2.322621
   35      1.296192      1.709056      2.318521
   36      1.291232      1.719296      2.331516
   37      1.296096      1.722240      2.328790
   38      1.302560      1.717024      2.318192
   39      1.290240      1.716224      2.330159
   40      1.291328      1.708032      2.322694
   41      1.292448      1.689600      2.307287
   42      1.292288      1.717248      2.328843
   43      1.300480      1.622016      2.247244
   44      1.166336      1.593344      2.366111
   45      1.161216      1.592512      2.371418
   46      1.185792      1.533600      2.293313
   47      1.176576      1.577952      2.341139
   48      1.166304      1.581056      2.355612
   49      1.169248      1.539072      2.316292
   50      1.172416      1.589248      2.355532
   51      1.170432      1.577984      2.348207
   52      1.159232      1.584800      2.367112
   53      1.168384      1.583680      2.355445
   54      1.165312      1.559552      2.338313
   55      1.166336      1.582080      2.356453
   56      1.165152      1.570176      2.347615
   57      1.160192      1.517568      2.308032
   58      1.179648      1.573888      2.334201
   59      1.170432      1.532288      2.309165
   60      1.162240      1.601056      2.377561
   61      1.172480      1.564672      2.334498
   62      1.173056      1.591200      2.356457
   63      1.172480      1.585152      2.351965
   64      1.170432      1.531904      2.308836
   65      1.183744      1.553120      2.312041
   66      1.173312      1.596416      2.360607
   67      1.170432      1.570816      2.342083
   68      1.176256      1.568768      2.333696
   69      1.171456      1.576128      2.345443
   70      1.174112      1.557664      2.326674
   71      1.163904      1.592288      2.368058
   72      1.158688      1.551296      2.338838
   73      1.158144      1.542880      2.332201
   74      1.168384      1.545824      2.323045
   75      1.158144      1.583712      2.367457
   76      1.176224      1.574208      2.338357
   77      1.159168      1.570880      2.355179
   78      1.167040      1.641472      2.406526
   79      1.167232      1.548288      2.326461
   80      1.164288      1.574912      2.352683
   81      1.153728      1.570496      2.361236
   82      1.152000      1.566272      2.359611
   83      1.154784      1.561824      2.352482
   84      1.143328      1.510400      2.321056
   85      1.159776      1.562336      2.347101
   86      1.150976      1.553216      2.349477
   87      1.147552      1.568768      2.367056
   88      1.152000      1.534976      2.332444
   89      1.168128      1.577984      2.350866
   90      1.168384      1.596416      2.366345
   91      1.156992      1.513472      2.308110
   92      1.160192      1.541920      2.329021
   93      1.152000      1.562528      2.356361
   94      1.144000      1.560576      2.364140
   95      1.161216      1.519616      2.308642
   96      1.153024      1.589248      2.378330
   97      1.149984      1.559552      2.356151
   98      1.148064      1.509376      2.314714
   99      1.150976      1.545216      2.342527
  100      1.153024      1.523712      2.321492
  101      1.155072      1.532928      2.327128
  102      1.170432      1.534880      2.311379
  103      1.158048      1.569792      2.355550
  104      1.157248      1.519616      2.313129
  105      1.150624      1.529440      2.329227
  106      1.159168      1.570816      2.355124
  107      1.154048      1.579008      2.368234
  108      1.146880      1.571680      2.370396
  109      1.153024      1.568320      2.360180
  110      1.146880      1.562400      2.362305
  111      1.159936      1.539328      2.327080
  112      1.154048      1.572864      2.362911
  113      1.147872      1.528544      2.331633
  114      1.163264      1.580896      2.359017
  115      1.157120      1.522688      2.315929
  116      1.149600      1.532512      2.333083
  117      1.162240      1.555456      2.338326
  118      1.145856      1.519552      2.326128
  119      1.156064      1.566688      2.355191
  120      1.155072      1.553408      2.344858
  121      1.166336      1.530848      2.312527
  122      1.165312      1.544384      2.325296
  123      1.155776      1.549568      2.340717
  124      1.153600      1.564448      2.356144
  125      1.148928      1.543008      2.342998
  126      1.151840      1.528672      2.327157
  127      1.147904      1.573696      2.370930
  128      1.160192      1.580032      2.361871
  129      1.155648      1.525696      2.320208
  130      1.168384      1.570816      2.344435
  131      1.157120      1.569600      2.356471
  132      1.158144      1.521408      2.313661
  133      1.170432      1.576640      2.347058
  134      1.149952      1.565696      2.361532
  135      1.152000      1.579104      2.370750
  136      1.162240      1.564672      2.346256
  137      1.149664      1.567744      2.363654
  138      1.145856      1.568576      2.368912
  139      1.156928      1.548288      2.338275
  140      1.153664      1.544192      2.338511
  141      1.164288      1.573888      2.351803
  142      1.148928      1.540096      2.340463
  143      1.159040      1.564672      2.349972
  144      1.151872      1.576960      2.369041
  145      1.154048      1.577408      2.366848
  146      1.159168      1.581056      2.363957
  147      1.144416      1.552384      2.356486
  148      1.154048      1.550336      2.343390
  149      1.141632      1.564672      2.370557
  150      1.148928      1.540096      2.340463
  151      1.147584      1.541888      2.343595
  152      1.154752      1.567648      2.357563
  153      1.156096      1.575648      2.362904
  154      1.175616      1.562400      2.329005
  155      1.157120      1.571456      2.358075
  156      1.161216      1.569888      2.351934
  157      1.152640      1.582080      2.372571
  158      1.150976      1.573472      2.367076
  159      1.152000      1.567744      2.360889
  160      1.156896      1.573888      2.360440
  161      1.143808      1.561600      2.365264
  162      1.150976      1.568384      2.362656
  163      1.146208      1.550336      2.352578
  164      1.158144      1.533952      2.324492
  165      1.155072      1.575936      2.364362
  166      1.156096      1.539072      2.331267
  167      1.154048      1.531648      2.327196
  168      1.160864      1.573408      2.355377
  169      1.157120      1.567424      2.354591
  170      1.148928      1.575936      2.371658
  171      1.189888      1.563648      2.314114
  172      1.161216      1.565408      2.348077
  173      1.154048      1.569792      2.360249
  174      1.159744      1.588480      2.369682
  175      1.148928      1.532928      2.334225
  176      1.150976      1.565536      2.360181
  177      1.141920      1.564544      2.370099
  178      1.146848      1.561600      2.361645
  179      1.157120      1.582784      2.367865
  180      1.152832      1.564064      2.356714
  181      1.172480      1.585568      2.352320
  182      1.150976      1.559552      2.354982
  183      1.151328      1.571840      2.365241
  184      1.148928      1.569792      2.366310
  185      1.149952      1.566624      2.362339
  186      1.155072      1.560576      2.351064
  187      1.154016      1.585152      2.373596
  188      1.155072      1.537632      2.331200
  189      1.153824      1.563360      2.354938
  190      1.158144      1.583264      2.367070
  191      1.154048      1.534976      2.330080
  192      1.151680      1.548288      2.344373
  193      1.148928      1.527808      2.329768
  194      1.155072      1.532800      2.327017
  195      1.160192      1.539008      2.326512
  196      1.150976      1.570816      2.364769
  197      1.159168      1.587200      2.369258
  198      1.150016      1.574784      2.369359
  199      1.152000      1.573600      2.365972
  200      1.145856      1.577728      2.376899
  201      1.148768      1.559552      2.357587
  202      1.167296      1.563392      2.339328
  203      1.147744      1.546016      2.347004
  204      1.148672      1.585152      2.379987
  205      1.155424      1.509056      2.306062
  206      1.152000      1.574912      2.367111
  207      1.152992      1.536000      2.332186
  208      1.141312      1.568768      2.374531
  209      1.149952      1.548864      2.346895
  210      1.149952      1.569536      2.364871
  211      1.156096      1.546240      2.337467
  212      1.161856      1.576864      2.357194
  213      1.154048      1.577984      2.367347
  214      1.147904      1.541248      2.342663
  215      1.146720      1.559520      2.359983
  216      1.149568      1.520544      2.322709
  217      1.159904      1.569664      2.353271
  218      1.149568      1.554368      2.352133
  219      1.144832      1.583872      2.383497
  220      1.146880      1.561600      2.361607
  221      1.146848      1.570784      2.369653
  222      1.149888      1.559552      2.356264
  223      1.143808      1.554336      2.358913
  224      1.154048      1.564672      2.355812
  225      1.154688      1.566720      2.356834
  226      1.149792      1.566592      2.362500
  227      1.143808      1.560416      2.364229
  228      1.151744      1.565792      2.359497
  229      1.152000      1.571840      2.364444
  230      1.145856      1.530432      2.335624
